"VariableName","Value","ValueLabel"
"Primary public control (IC2023)","1","Federal"
"Primary public control (IC2023)","2","State"
"Primary public control (IC2023)","3","Territorial"
"Primary public control (IC2023)","4","School district"
"Primary public control (IC2023)","5","County"
"Primary public control (IC2023)","7","City"
"Primary public control (IC2023)","8","Special district"
"Primary public control (IC2023)","9","Other"
"Primary public control (IC2023)","-2","Not applicable"
"Carnegie Classification 2021: Basic (HD2023)","1","Associate's Colleges: High Transfer-High Traditional"
"Carnegie Classification 2021: Basic (HD2023)","2","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional"
"Carnegie Classification 2021: Basic (HD2023)","3","Associate's Colleges: High Transfer-High Nontraditional"
"Carnegie Classification 2021: Basic (HD2023)","4","Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional"
"Carnegie Classification 2021: Basic (HD2023)","5","Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional"
"Carnegie Classification 2021: Basic (HD2023)","6","Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional"
"Carnegie Classification 2021: Basic (HD2023)","7","Associate's Colleges: High Career & Technical-High Traditional"
"Carnegie Classification 2021: Basic (HD2023)","8","Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional"
"Carnegie Classification 2021: Basic (HD2023)","9","Associate's Colleges: High Career & Technical-High Nontraditional"
"Carnegie Classification 2021: Basic (HD2023)","10","Special Focus Two-Year: Health Professions"
"Carnegie Classification 2021: Basic (HD2023)","11","Special Focus Two-Year: Technical Professions"
"Carnegie Classification 2021: Basic (HD2023)","12","Special Focus Two-Year: Arts & Design"
"Carnegie Classification 2021: Basic (HD2023)","13","Special Focus Two-Year: Other Fields"
"Carnegie Classification 2021: Basic (HD2023)","14","Baccalaureate/Associate's Colleges: Associate's Dominant"
"Carnegie Classification 2021: Basic (HD2023)","15","Doctoral Universities: Very High Research Activity
"
"Carnegie Classification 2021: Basic (HD2023)","16","Doctoral Universities: High Research Activity
"
"Carnegie Classification 2021: Basic (HD2023)","17","Doctoral/Professional Universities
"
"Carnegie Classification 2021: Basic (HD2023)","18","Master's Colleges & Universities: Larger Programs"
"Carnegie Classification 2021: Basic (HD2023)","19","Master's Colleges & Universities: Medium Programs"
"Carnegie Classification 2021: Basic (HD2023)","20","Master's Colleges & Universities: Small Programs"
"Carnegie Classification 2021: Basic (HD2023)","21","Baccalaureate Colleges: Arts & Sciences Focus"
"Carnegie Classification 2021: Basic (HD2023)","22","Baccalaureate Colleges: Diverse Fields"
"Carnegie Classification 2021: Basic (HD2023)","23","Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's"
"Carnegie Classification 2021: Basic (HD2023)","24","Special Focus Four-Year: Faith-Related Institutions"
"Carnegie Classification 2021: Basic (HD2023)","25","Special Focus Four-Year: Medical Schools & Centers"
"Carnegie Classification 2021: Basic (HD2023)","26","Special Focus Four-Year: Other Health Professions Schools"
"Carnegie Classification 2021: Basic (HD2023)","28","Special Focus Four-Year: Engineering and Other Technology-Related Schools"
"Carnegie Classification 2021: Basic (HD2023)","29","Special Focus Four-Year: Business & Management Schools"
"Carnegie Classification 2021: Basic (HD2023)","30","Special Focus Four-Year: Arts, Music & Design Schools"
"Carnegie Classification 2021: Basic (HD2023)","31","Special Focus Four-Year: Law Schools"
"Carnegie Classification 2021: Basic (HD2023)","32","Special Focus Four-Year: Other Special Focus Institutions"
"Carnegie Classification 2021: Basic (HD2023)","33","Tribal Colleges"
"Carnegie Classification 2021: Basic (HD2023)","-2","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"
"Institution size category (HD2023)","1","Under 1,000"
"Institution size category (HD2023)","2","1,000 - 4,999"
"Institution size category (HD2023)","3","5,000 - 9,999"
"Institution size category (HD2023)","4","10,000 - 19,999"
"Institution size category (HD2023)","5","20,000 and above"
"Carnegie Classification 2021: Basic (HD2022)","1","Associate's Colleges: High Transfer-High Traditional"
"Carnegie Classification 2021: Basic (HD2022)","2","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional"
"Carnegie Classification 2021: Basic (HD2022)","3","Associate's Colleges: High Transfer-High Nontraditional"
"Carnegie Classification 2021: Basic (HD2022)","4","Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional"
"Carnegie Classification 2021: Basic (HD2022)","5","Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional"
"Carnegie Classification 2021: Basic (HD2022)","6","Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional"
"Carnegie Classification 2021: Basic (HD2022)","7","Associate's Colleges: High Career & Technical-High Traditional"
"Carnegie Classification 2021: Basic (HD2022)","8","Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional"
"Carnegie Classification 2021: Basic (HD2022)","9","Associate's Colleges: High Career & Technical-High Nontraditional"
"Carnegie Classification 2021: Basic (HD2022)","10","Special Focus Two-Year: Health Professions"
"Carnegie Classification 2021: Basic (HD2022)","11","Special Focus Two-Year: Technical Professions"
"Carnegie Classification 2021: Basic (HD2022)","12","Special Focus Two-Year: Arts & Design"
"Carnegie Classification 2021: Basic (HD2022)","13","Special Focus Two-Year: Other Fields"
"Carnegie Classification 2021: Basic (HD2022)","14","Baccalaureate/Associate's Colleges: Associate's Dominant"
"Carnegie Classification 2021: Basic (HD2022)","15","Doctoral Universities: Very High Research Activity
"
"Carnegie Classification 2021: Basic (HD2022)","16","Doctoral Universities: High Research Activity
"
"Carnegie Classification 2021: Basic (HD2022)","17","Doctoral/Professional Universities
"
